"mes","nombre","ap_paterno","ap_materno","sexo","curp","rango","rfc","actividad","division","grupo","mod","sal"
1,"MARIBEL","CONTRERAS","FIERROS",1,"PILJ772310HDFCNN13","E7","HCO720212CW6",8310,8,23,10,2219.760718
1,"RUPERTO","GARATE","VENEGAS",2,"MOGA621026HDFANN16","E5","LAB201006CA6",8310,9,83,10,1538.166
1,"ELIZABETH","TREJO","CERDA",1,"HUCJ732913MDFTHS16","E4","OSU221012DA7",9414,8,88,10,683.8598931
1,"ELIZABETH","RUIZ","RUIZ",2,"VISS762210HDFLVA17","E6","FSI772910ML6",9212,3,83,10,217.0910524
1,"GABRIELA","SANCHEZ","VAZQUEZ",1,"AROR070002HJCYAD16","E10","AAY0327130Q6",8917,8,90,10,2153.579581
1,"MARIA","TECOTERO","LA",2,"BRFG762624MDFNAD12","E7","RCC622727ST1",6219,6,83,10,1518.388142
1,"MARIBEL","GOMEZ","CONDE",1,"DIAA722626HDFUUN06","E4","DBM062228MM1",8313,8,83,10,1625.100787
1,"MARIO","SANCHEZ","CERON",2,"AULJ702616HJCCPS10","E6","COM002313FF2",9314,7,62,10,152.6135327
1,"ABISAI","GARCIA","RAMIREZ",2,"COHF762612HVULAD16","E10","PIM210126NF2",8310,6,83,10,304.1206544
1,"RUBEN","SANCHEZ","ALVAREZ",1,"PUHA082007HDFAAB16","E4","HRAV620027S66",8310,6,63,10,1729.284442
1,"OLGA","JIMENEZ","ACOSTA",2,"FASJ000006HNLAAS23","E8","SAC020207PK3",8310,8,62,10,1475.343648
1,"ANTONIO","GUERRERO","SOSA",2,"SACC200161MDFNALA3","E3","ATL270213KG7",2412,7,62,10,2057.528385
1,"GUADALUPE","DALMA","ROCHA",1,"CALM062620MMCSPY11","E4","STM231703LU6",8710,8,30,10,707.1041779
1,"ALEJANDRA","REYES","HERNANDEZ",2,"FOPL762610HDFNAN16","E8","PAO021617K93",9010,8,30,10,626.3088525
1,"REYNALDO","RAMOS","BARONA",1,"HRMJ721306HSAANS10","E3","IMS320260I36",6713,8,93,10,2148.11129
1,"JERONIMO","CRUZ","ARREOLA",2,"LABD060227HDFGLV29","E5","TMR722629M07",4910,4,27,10,2102.892953
1,"JESUS","GONZALEZ","MORA",1,"TRLD072618HMCANN13","E5","PPL760003GU0",8710,3,21,10,842.0577335
1,"RODRIGO","RAMIREZ","URQUIZA",1,"CUAP621207MDFAMT16","E5","VCI2113130A1",9212,4,83,10,270.8177533
1,"MARISOL","GARCIA","RODRIGUEZ",1,"JATO602728HNRAAM16","E8","CRJ070007AF3",8710,6,89,10,152.4264712
1,"SOLCIRE","DIAZ","RAMIREZ",2,"FRPC672723MSALLA66","E6","CDR000202JUA",3010,6,32,10,1213.49527
1,"ROCIO","VILLAGOMEZ","MEZA",2,"OITJ630226HDFAJN17","E8","MIN702626CFA",6700,8,66,10,973.8606693
1,"ADRIANA","MORA","HERNANDEZ",1,"CATO720026HDFHMS17","E4","SLR201307SN7",3210,8,70,10,1134.354295
1,"ARMANDO","VELAZQUEZ","HERNANDEZ",1,"LIRF772361HVUMCL06","E7","CNH0624222G1",6216,8,83,10,273.5920526
1,"EVELIO","VALENTINEZ","MORALES",1,"BANA702806HDFLAC17","E8","SAC261700K71",8011,4,92,10,1617.575129
1,"MARGARITA","MARTINEZ",NA,1,"PRGR762017MDFAND16","E5","NSR060203QT6",8310,8,87,10,1375.340455
1,"ADRIAN","AVILA","VARELA",2,"AACA700000HGAMNN26","E6","CALJ6722073Q3",8011,3,60,10,301.50977
1,"ISABEL","LUNA","MEDINA",1,"GOVJ632200HJCMUS18","E7","GBR221361BA1",6913,9,83,10,1285.786933
1,"RICARDO","HIGUERA","MAR",2,"GAMP072317HDFAAD12","E5","DAH070212MWA",3012,8,80,10,1089.653304
1,"GABRIELA","GARCIA","DIAZ",2,"TICJ702640HDFAAN16","E4","SPG062709TJ9",3012,8,93,10,426.7926505
1,"RICARDO","FACUNDO","UELOS",1,"GUMC020110HDFTNA17","E7","CAS271227HQ2",8310,8,83,10,2099.14065
1,"CARLOS","AVILA","ORTIZ",2,"MOAL702002MMCAYT17","E4","AIS201617CA3",10,7,83,10,351.3106765
1,"LEOBALDO","LOZADA","MURILLO",1,"MAHF000216HJCCAA17","E4","ABC3027137I1",8313,8,21,10,1095.584584
1,"RUBEN","GARCIA","ORTIZ",1,"TRMK072603MDFANA19","E10","RII7229176F9",2211,9,83,10,1175.498301
1,"MAURICIO","GONZALEZ","FLORES",1,"CAAA732610HVUANB10","E7","GGA2717232F0",6914,6,48,10,373.4872145
