"rfc","mes","actividad","curp","nombre","ap_paterno","ap_materno"
"PNC702641L33",1,"9010","GOAL062700HDFNNS18","ALEJANDRO","CONTRERAS","SANCHEZ"
"INF7226100UA",1,"3012","SAAR062306HTSNND14","MARIA","HERNANDEZ","OROZCO"
"CIT032606S67",1,"8310","MRAM762302HMCJBS13","MARIO","MORALES","RUEDA"
"PAM072020RA9",1,"8917","TOSC762601HDFAAA17","ERIC","MENDOZA","VARGAS"
"A1C2745A2K99",1,"6910","TOSD772612MCSLNM17","CESAR","VELA","VALLEJO"
"LAO762026AH7",1,"9312","HRBC760220MDFATA27","CLAUDIA","SANCHEZ","MENDEZ"
"ASI2710066F4",1,"7411","AOCJ720206HDFJLN16","ESTEFANIA","ACOSTA","PAJAR"
"AAU271660BI3",1,"6718","FOCN022726MTSLSS18","CARLOS","SERNA","MENDOZA"
"UIB632721IT6",1,"4702","GAAG602213HMNAML17","GERARDO","GOMEZ","HERNANDEZ"
"ABC170002A44",1,"8310","MAPR720010HDFAAN17","NICOLAS","MIGUEL","VEGA"
"PYR062006F00",1,"8710","LOFD702317HDFPLV18","EDMUNDO","GANDARA","IBARRA"
"CIP0627066R6",1,"8011","CRSR760020HMNAAS29","NESTOR","PIZA","MARQUEZ"
"IMS320260I36",1,"8310","ARAS762041MDFLLM19","ERNESTO","RIVERA","VERA"
"CIN270110C06",1,"6310","SOAM002600MMCLAN06","RUBEN","VILLANUEVA","SUAREZ"
"A3C570002D27",1,"6214","FAMC062617HDFANA10","IVAN","DIRCIO","GODINEZ"
"AIG060206JB6",1,"8310","GOAI072327MDFMVN16","VERONICA","LA","DURAN"
"KIA021006GC1",1,"2312","AACY030202MDFLAU17","GUILLERMO","HERNANDEZ","OLIVARES"
"SSM201627B68",1,"8310","NACR772622HGAVAD10","ALEJANDRO","MENDOZA","SANCHEZ"
"SIU261006UJ1",1,"10","AOAA022216HMCCYF14","ANAYANSI","HERNANDEZ","ESPINOSA"
"PTA271006066",1,"8310","GAPI760217MDFLSA16","PATRICIA","IGA","ALEJANDRO"
"COAA6002076K3",1,"3010","AAFR032761MDFLLD13","SERGIO","LOPEZ","GARCIA"
"CMC7700267N0",1,"3214","GOAD732020HTLNDG16","EUGENIA","ORTIZ","MORALES"
"CCO072722C31",1,"7411","LOAI762026MDFPYS16","VLADIMIR","CRUZ","LOPEZ"
"APA200210SC6",1,"9314","VRCK790213HMCLHV12","MARIA","MEDINA","ORTEGA"
"TCS261312UB7",1,"3012","CRDA760223HMCBUB21","LUIS","ANDRADE","CEBALLOS"
"LPM002210RT6",1,"9314","LAUA002317HDFNPB16","GABRIELA","CALDERON","CONTRERAS"
"PSM062306GH7",1,"7612","GAPL660022MDFAAT20","VIOLETA","NAVARRO","SERRANO"
"DDY002603BU3",1,"9010","MADC772316HPLAUL10","ISABEL","GARCIA","RICO"
"AFC271202SW2",1,"4118","AACM060226HMCMAS12","GABRIEL","DOMINGUEZ","BUENO"
"MIN702626CFA",1,"9010","AAPL732621MCSMAU17","SUSANA","TELLO","GONZALEZ"
"IMS320260I36",1,"7611","CAAI060218HDFSBV16","RAUL","RUIZ","GOMEZ"
"SRS002316HFA",1,"8903","AALG211200MDFMDAA6","ARMANDO","HERNANDEZ","SANTOS"
"ABC170002A44",1,"8917","SRGA702600HDFATN17","JUAN","MORA","DIAZ"
"AAA77021676A",1,"9212","VIVL002806HMCLUB17","ESTELA","SORIANO","RIVAS"
"PIA0027062P7",1,"8310","FOAA662216MDFLYN16","GERARDO","RODRIGUEZ","PEREZ"
